ESTADO,MÊS,PRODUTO,REGIÃO,PREÇO PONDERADO POR MÊS,PREÇO MÁXIMO PONDERADO,PREÇO MÍNIMO PONDERADO
SAO PAULO,2019-04-30,GASOLINA COMUM,SUDESTE,4.199531059772643,4.500088567004847,3.965548294829482
SERGIPE,2019-03-31,GLP,NORDESTE,69.49879900744416,74.9578163771712,65.36600496277916
ACRE,2019-05-31,GLP,NORTE,79.65337873357227,86.58661887694146,75.8900836320191
AMAZONAS,2018-12-31,ETANOL HIDRATADO,NORTE,3.584071428571429,3.7120714285714285,3.4428571428571426
AMAZONAS,2019-08-31,GLP,NORTE,74.90171428571426,81.80357142857144,70.58928571428571
MARANHAO,2019-04-30,ÓLEO DIESEL,NORDESTE,3.6493301149425292,3.74386724137931,3.5654451724137934
MATO GROSSO DO SUL,2019-01-31,ÓLEO DIESEL,CENTRO OESTE,3.4957226495235907,3.6833673516243826,3.320750774882333
MATO GROSSO DO SUL,2019-06-30,ETANOL HIDRATADO,CENTRO OESTE,3.491050918635171,3.699758333333333,3.314735498687664
MINAS GERAIS,2019-01-31,GNV,SUDESTE,2.9957567204301077,3.0262970430107528,2.9651317204301075
PARA,2019-08-31,ETANOL HIDRATADO,NORTE,3.852291666666666,4.022583333333333,3.7615
PARAIBA,2019-08-31,ETANOL HIDRATADO,NORDESTE,3.5382741935483875,3.7216612903225808,3.467161290322581
PARANA,2019-04-30,GASOLINA COMUM,SUL,4.303308150984682,4.483457093362509,4.16095295404814
PARANA,2019-06-30,ÓLEO DIESEL S10,SUL,3.50233098488986,3.6942205716366288,3.3287004187147278
RIO DE JANEIRO,2019-06-30,ÓLEO DIESEL,SUDESTE,3.5760321801208135,3.7351086765513464,3.438919522240527
SANTA CATARINA,2019-07-31,GNV,SUL,2.7512314022383144,2.77790125082291,2.721765306122449
CEARA,2019-04-30,GNV,NORDESTE,3.6514058479532165,3.6791859649122802,3.607824561403509
ESPIRITO SANTO,2018-12-31,ÓLEO DIESEL,SUDESTE,3.4204117647058823,3.6083382352941173,3.2414705882352943
ESPIRITO SANTO,2019-06-30,GASOLINA COMUM,SUDESTE,4.534591582974653,4.661733142037304,4.409663223338116
MARANHAO,2019-08-31,ÓLEO DIESEL S10,NORDESTE,3.6428859649122813,3.7807543859649124,3.5135701754385966
MATO GROSSO DO SUL,2018-12-31,GLP,CENTRO OESTE,72.2124347826087,83.33913043478262,62.59565217391304
MATO GROSSO DO SUL,2019-03-31,GLP,CENTRO OESTE,70.97408976157082,81.47727910238429,62.59298737727911
PARA,2019-07-31,ÓLEO DIESEL,NORTE,3.9057214251324024,4.040077515647568,3.7462020221473282
RIO GRANDE DO NORTE,2019-02-28,ETANOL HIDRATADO,NORDESTE,3.28491650414432,3.421290833739639,3.1211190882496345
RORAIMA,2019-08-31,GLP,NORTE,84.542,85.0,83.0
SERGIPE,2019-01-31,ETANOL HIDRATADO,NORDESTE,3.2650969595847235,3.437334445680386,3.157776232851316
AMAPA,2019-05-31,GASOLINA COMUM,NORTE,4.177262672811059,4.640861751152074,3.970645161290322
DISTRITO FEDERAL,2019-02-28,GLP,CENTRO OESTE,73.095,95.0,65.0
DISTRITO FEDERAL,2019-04-30,ÓLEO DIESEL S10,CENTRO OESTE,3.850366666666667,4.1285,3.5871666666666666
ESPIRITO SANTO,2019-07-31,GNV,SUDESTE,2.882344086021506,2.8835655913978497,2.880439784946237
MARANHAO,2018-12-31,GLP,NORDESTE,72.34208571428572,79.68571428571428,65.35371428571429
