MUNICÍPIO,MÊS,PRODUTO,ESTADO,REGIÃO,PREÇO PONDERADO,PREÇO PONDERADO MÍNIMO,PREÇO PONDERADO MÁXIMO,NÚMERO DE POSTOS PESQUISADOS
BARREIRAS,2018-12-31,ETANOL HIDRATADO,BAHIA,NORDESTE,3.408,3.279,3.499,11.0
CAUCAIA,2018-12-31,ETANOL HIDRATADO,CEARA,NORDESTE,3.451,3.29,3.59,20.0
MARECHAL CANDIDO RONDON,2019-01-31,ETANOL HIDRATADO,PARANA,SUL,2.941,2.89,2.9980645161290322,30.0
MAUA,2018-12-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.678,2.39,2.799,11.0
PIRIPIRI,2019-01-31,ETANOL HIDRATADO,PIAUI,NORDESTE,3.476451612903225,3.4458064516129028,3.507096774193548,8.0
TABOAO DA SERRA,2019-01-31,ETANOL HIDRATADO,SAO PAULO,SUDESTE,2.695709677419355,2.431258064516129,3.699,75.0
BALNEARIO CAMBORIU,2019-01-31,ÓLEO DIESEL,SANTA CATARINA,SUL,3.344967741935484,3.299,3.3602903225806453,14.0
ITU,2018-12-31,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.417,3.299,3.779,9.0
IJUI,2018-12-31,ÓLEO DIESEL S10,RIO GRANDE DO SUL,SUL,3.43,3.279,3.531,7.0
JATAI,2018-12-31,ÓLEO DIESEL S10,GOIAS,CENTRO OESTE,3.671,3.55,3.97,12.0
TABOAO DA SERRA,2019-01-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.398741935483871,3.099,3.869,50.0
TORRES,2019-01-31,ÓLEO DIESEL S10,RIO GRANDE DO SUL,SUL,3.3779677419354837,3.245516129032258,3.499,25.0
TRES LAGOAS,2019-01-31,ÓLEO DIESEL S10,MATO GROSSO DO SUL,CENTRO OESTE,3.642290322580645,3.366096774193549,3.8685161290322583,60.0
BACABAL,2019-01-31,GASOLINA COMUM,MARANHAO,NORDESTE,4.335838709677419,4.188709677419355,4.570967741935484,20.0
BARBACENA,2018-12-31,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.643,4.59,4.728,7.0
BIGUACU,2018-12-31,GASOLINA COMUM,SANTA CATARINA,SUL,3.968,3.869,4.059,10.0
ITUIUTABA,2019-01-31,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.667935483870967,4.528709677419355,4.782870967741935,65.0
LIMOEIRO DO NORTE,2019-01-31,GASOLINA COMUM,CEARA,NORDESTE,4.534806451612902,4.455161290322581,4.641129032258064,30.0
PRESIDENTE VENCESLAU,2019-01-31,GLP,SAO PAULO,SUDESTE,65.79354838709676,65.0,68.32258064516128,25.0
SAPUCAIA DO SUL,2019-01-31,GLP,RIO GRANDE DO SUL,SUL,67.31890322580645,60.0,75.0,95.0
MAFRA,2019-02-28,ETANOL HIDRATADO,SANTA CATARINA,SUL,3.4980714285714285,3.215464285714286,3.797392857142857,17.0
CAETITE,2019-02-28,ÓLEO DIESEL S10,BAHIA,NORDESTE,3.7315357142857146,3.4561428571428574,3.991857142857143,30.0
CRATO,2019-02-28,ÓLEO DIESEL S10,CEARA,NORDESTE,3.798178571428571,3.7116785714285716,3.8765357142857146,48.0
JANAUBA,2019-02-28,ÓLEO DIESEL S10,MINAS GERAIS,SUDESTE,3.6985357142857147,3.6273928571428575,3.8251785714285713,28.0
CARIACICA,2019-02-28,GASOLINA COMUM,ESPIRITO SANTO,SUDESTE,4.196821428571429,4.171785714285714,4.226428571428571,55.0
JABOATAO DOS GUARARAPES,2019-02-28,GASOLINA COMUM,PERNAMBUCO,NORDESTE,4.061392857142858,3.9743571428571425,4.445428571428572,60.0
MONTE CARMELO,2019-02-28,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.505857142857143,4.405428571428571,4.698,50.0
FORTALEZA,2019-02-28,GLP,CEARA,NORDESTE,75.12253571428572,69.5,80.00000000000001,270.0
LAGARTO,2019-02-28,GLP,SERGIPE,NORDESTE,67.05357142857143,65.0,71.60714285714286,20.0
RIO LARGO,2019-02-28,GLP,ALAGOAS,NORDESTE,64.58325,63.75,65.0,15.0
VICOSA,2019-02-28,GLP,MINAS GERAIS,SUDESTE,74.40489285714285,68.75,80.00000000000001,15.0
COLOMBO,2019-03-31,ETANOL HIDRATADO,PARANA,SUL,3.0071935483870966,2.871064516129032,3.0828709677419353,102.0
GUARAPUAVA,2019-03-31,ETANOL HIDRATADO,PARANA,SUL,3.0639032258064516,2.815806451612903,3.357741935483871,84.0
CONGONHAS,2019-03-31,ÓLEO DIESEL,MINAS GERAIS,SUDESTE,3.6517419354838707,3.5541935483870963,3.7986774193548385,24.0
JEQUIE,2019-03-31,ÓLEO DIESEL,BAHIA,NORDESTE,3.5824193548387098,3.4110645161290325,3.797354838709677,44.0
PAULINIA,2019-03-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.45558064516129,3.285451612903225,3.6789999999999994,72.0
VALINHOS,2019-03-31,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.442645161290322,3.2732580645161287,3.6473870967741933,60.0
BARRETOS,2019-03-31,GASOLINA COMUM,SAO PAULO,SUDESTE,4.1982580645161285,3.7831935483870964,4.424806451612903,90.0
BRAGANCA,2019-03-31,GASOLINA COMUM,PARA,NORTE,4.298967741935483,4.260967741935484,4.367741935483871,34.0
IPATINGA,2019-03-31,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.710451612903226,4.676451612903225,4.744870967741935,66.0
LAVRAS,2019-03-31,GASOLINA COMUM,MINAS GERAIS,SUDESTE,4.730741935483871,4.592387096774193,4.857290322580646,54.0
MACAPA,2019-03-31,GASOLINA COMUM,AMAPA,NORTE,3.988709677419355,3.718709677419355,4.493225806451613,144.0
REDENCAO,2019-03-31,GASOLINA COMUM,PARA,NORTE,4.668516129032258,4.603548387096774,4.711161290322581,24.0
BOM DESPACHO,2019-03-31,GLP,MINAS GERAIS,SUDESTE,76.11709677419353,68.5483870967742,79.90322580645162,18.0
SAO BERNARDO DO CAMPO,2019-03-31,GLP,SAO PAULO,SUDESTE,70.15777419354839,64.58064516129032,75.16129032258064,60.0
ALTA FLORESTA,2019-04-30,ÓLEO DIESEL,MATO GROSSO,CENTRO OESTE,4.260833333333333,4.2026666666666666,4.29,48.0
ARARAS,2019-04-30,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.4113333333333333,3.3349333333333333,3.487333333333334,56.0
CUIABA,2019-04-30,ÓLEO DIESEL,MATO GROSSO,CENTRO OESTE,3.7877666666666667,3.5293333333333337,4.0520000000000005,126.0
JAGUAQUARA,2019-04-30,ÓLEO DIESEL,BAHIA,NORDESTE,3.5046666666666666,3.3942,3.6706666666666665,33.0
PARNAIBA,2019-04-30,ÓLEO DIESEL,PIAUI,NORDESTE,3.8080666666666665,3.5929999999999995,3.872333333333333,33.0
SUMARE,2019-04-30,ÓLEO DIESEL,SAO PAULO,SUDESTE,3.359866666666667,3.1430000000000002,3.499,60.0
BLUMENAU,2019-04-30,ÓLEO DIESEL S10,SANTA CATARINA,SUL,3.5526999999999997,3.2909,3.703433333333333,90.0
PARAGUACU PAULISTA,2019-04-30,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.5903333333333336,3.519,3.6663333333333337,40.0
PARNAMIRIM,2019-04-30,ÓLEO DIESEL S10,RIO GRANDE DO NORTE,NORDESTE,3.829466666666667,3.773533333333334,3.9043333333333337,55.0
VALINHOS,2019-04-30,ÓLEO DIESEL S10,SAO PAULO,SUDESTE,3.4876666666666662,3.3567333333333336,3.619,48.0
